,Bad_ID
1952,132528
1953,682558
1954,012674
1955,422679
1956,742549
1957,012705
1958,492737
1959,142824
1960,05A357
1961,742556
1962,A01513
1963,A11575
1964,372549
1965,112636
1966,102528
1967,38E173
1968,40003F
1969,142546
1970,492516
1971,242523
1972,152611
1973,222319
1974,062557
1975,142730
1976,382564
1977,362857
1978,432515
1979,252555
1980,05020F
1981,152664
1982,49001F
1983,252578
1984,372595
1985,552740
1986,362810
1987,362881
1988,522525
1989,242606
1990,A11709
1991,A11519
1992,A11573
1993,392732
1994,032556
1995,062544
1996,322510
1997,552552
1998,112759
1999,452745
2000,322505
2001,102739
2002,052836
2003,192691
2004,45E629
2005,332670
2006,012654
2007,112846
2008,142721
2009,A01693
2010,552883
2011,062586
2012,392802
2013,232709
2014,052400
2015,333569
2016,222581
2017,312665
2018,A11563
2019,A01672
2020,011306
2021,A01641
2022,422541
2023,442655
2024,012619
2025,452895
2026,232624
2027,392595
2028,672501
2029,052879
2030,44E446
2031,332690
2032,262612
2033,19047F
2034,552551
2035,342547
2036,342694
2037,342699
2038,342701
2039,342702
2040,342715
2041,342719
2042,342743
2043,342750
2044,17A020
2045,012659
2046,012664
2047,012682
2048,012706
2049,012708
2050,012710
2051,242534
2052,502557
2053,212659
2054,552632
2055,382555
2056,01014F
2057,349009
2058,042585
2059,452793
2060,512537
2061,112836
2062,142766
2063,672706
2064,212720
2065,05013F
2066,672822
2067,362836
2068,682609
2069,552822
2070,132530
2071,172560
2072,A01603
2073,552738
2074,131582
2075,A01684
2076,A11601
2077,552894
2078,142852
2079,852532
2080,682631
2081,A11722
2082,A11658
2083,142859
2084,A11607
2085,292521
2086,232596
2087,492575
2088,112639
2089,112746
2090,332541
2091,49E075
2092,142622
2093,132515
2094,462529
2095,422611
2096,45E631
2097,192689
2098,492503
2099,052673
2100,192587
2101,102763
2102,042532
2103,442726
2104,032622
2105,332777
2106,012621
2107,192714
2108,322539
2109,492662
2110,682510
2111,112835
2112,052638
2113,242605
2114,332736
2115,742534
2116,072551
2117,672866
2118,672698
2119,672865
2120,042512
2121,232697
2122,452777
2123,142506
2124,342745
2125,552891
2126,232734
2127,122532
2128,A11624
2129,142823
2130,552854
2131,552892
2132,182636
2133,682676
2134,A11543
2135,742559
2136,042599
2137,142856
2138,852556
2139,442740
2140,A11631
2141,672643
2142,672795
2143,192616
2144,192534
2145,212528
2146,342614
2147,A01767
2148,672561
2149,232599
2150,49002F
2151,192611
2152,102564
2153,362639
2154,322535
2155,042582
2156,332673
2157,192627
2158,182505
2159,112658
2160,342718
2161,362831
2162,682576
2163,192724
2164,192610
2165,112874
2166,242588
2167,672821
2168,522606
2169,672798
2170,672859
2171,442744
2172,142857
2173,A11635
2174,682646
2175,122533
2176,212583
2177,342721
2178,372614
2179,752504
2180,A11625
2181,18007F
2182,552533
2183,132514
2184,552560
2185,352500
2186,523534
2187,392545
2188,462500
2189,25A389
2190,032561
2191,032628
2192,192700
2193,452851
2194,242572
2195,672666
2196,312568
2197,212669
2198,492661
2199,492673
2200,682530
2201,232686
2202,232687
2203,212675
2204,052691
2205,262642
2206,522542
2207,012668
2208,672831
2209,232715
2210,392360
2211,422657
2212,A01624
2213,682551
2214,332708
2215,252574
2216,192558
2217,191690
2218,142848
2219,492682
2220,672851
2221,062595
2222,422682
2223,112766
2224,162509
2225,242553
2226,05A021
2227,192322
2228,202511
2229,362776
2230,232347
2231,212568
2232,212700
2233,242550
2234,342513
2235,102612
2236,102717
2237,022503
2238,262547
2239,032503
2240,192659
2241,232637
2242,231682
2243,362733
2244,042548
2245,212656
2246,312600
2247,142812
2248,332321
2249,442745
2250,672680
2251,333558
2252,372570
2253,522578
2254,232575
2255,501546
2256,A11528
2257,312634
2258,A01761
2259,012645
2260,672894
2261,742503
2262,342742
2263,221606
2264,332546
2265,182572
2266,232565
2267,532504
2268,392610
2269,34A002
2270,452842
2271,269807
2272,462521
2273,462518
2274,052885
2275,102538
2276,192566
2277,232566
2278,152602
2279,192641
2280,102582
2281,492650
2282,10057F
2283,552592
2284,392587
2285,392367
2286,682655
2287,362790
2288,322547
2289,672704
2290,324611
2291,522591
2292,152641
2293,452757
2294,A01792
2295,112893
2296,142795
2297,202518
2298,332762
2299,521603
2300,A01708
2301,332900
2302,682653
2303,552867
2304,082529
2305,A01785
2306,A11695
2307,A11740
2308,392717
2309,232586
2310,482500
2311,092524
2312,172523
2313,162569
2314,232570
2315,492562
2316,102521
2317,102632
2318,102715
2319,45F497
2320,332310
2321,552574
2322,102851
2323,04A293
2324,452692
2325,102553
2326,392338
2327,092525
2328,232658
2329,45074F
2330,422529
2331,312626
2332,362306
2333,682616
2334,152673
2335,392847
2336,372544
2337,342713
2338,262678
2339,142845
2340,672776
2341,502576
2342,672738
2343,042545
2344,14E701
2345,742554
2346,382584
2347,A11589
2348,672887
2349,552898
2350,852543
2351,682650
2352,262544
2353,031707
2354,332691
2355,252516
2356,292501
2357,242564
2358,243532
2359,102583
2360,112558
2361,422575
2362,33052E
2363,052884
2364,342658
2365,222305
2366,442653
2367,232554
2368,012618
2369,242585
2370,33A246
2371,102896
2372,192652
2373,433512
2374,172565
2375,362578
2376,392821
2377,212573
2378,A11638
2379,031698
2380,682668
2381,142830
2382,362870
2383,A01674
2384,A11544
2385,A01594
2386,031717
2387,372593
2388,A11538
2389,A11707
2390,262614
2391,052809
2392,502549
2393,232592
2394,492537
2395,342560
2396,052891
2397,552582
2398,342527
2399,08A006
2400,09E020
